d_opt,sigma_d,tissue,d,k_rel,loss
4e-08,1e-08,Transport-Resistant,2.75e-08,0.0031622776601683794,2.8412040314273202e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.004641588833612777,2.820268724353407e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.006812920690579608,2.7965124340157444e-05
4e-08,1e-08,Transport-Resistant,2.75e-08,0.01,2.768028648963019e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,1e-06,3.3541718059107083e-06
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,1.4677992676220705e-06,4.464777777250258e-06
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,2.1544346900318822e-06,6.149822528730592e-06
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,3.162277660168379e-06,8.589095468892881e-06
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,4.641588833612782e-06,1.1887999891668322e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,6.8129206905796085e-06,1.5985843162704065e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,9.999999999999999e-06,2.0593266238419034e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,1.4677992676220675e-05,2.52047500193294e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,2.1544346900318823e-05,2.9219930708693615e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,3.1622776601683795e-05,3.214995685868117e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,4.641588833612772e-05,3.379568387223722e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,6.812920690579608e-05,3.4278849812775894e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.0001,3.39240739147113e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.0001467799267622069,3.3098017288015726e-05
4e-08,1e-08,Transport-Resistant,3.0000000000000004e-08,0.00021544346900318823,3.2100049537052365e-05
